"Id","AdviceUnitId","Name","Name_Length","Notes","Notes_Length","IsVisibleToClient","CreatedUTCDateTime","LastModifiedUTCDateTime","RiskLevelId","RiskLevelNotes","RiskLevelNotes_Length","RiskLevelLastModifiedUTCDateTime","RiskLevelBusinessProcessInstanceId","RiskLevelUpdatedByStaffId","SustainabilityLevelId","SustainabilityLevelNotes","SustainabilityLevelNotes_Length","SustainabilityLevelLastModifiedUTCDateTime","SustainabilityLevelBusinessProcessInstanceId","SustainabilityLevelUpdatedByStaffId","ObjectiveNotes","ObjectiveNotes_Length","ObjectiveLastModifiedUTCDateTime","ObjectiveBusinessProcessInstanceId","ObjectiveUpdatedByStaffId","MinimumThresholdAmount","MinimumThresholdCurrencyId","MinimumThresholdLastModifiedUTCDateTime","MinimumThresholdBusinessProcessInstanceId","MinimumThresholdUpdatedByStaffId"
"321fac26-6819-42d1-b489-2bde6447edbf","d39779f6-0f78-4d86-829a-cefa830acdee","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T00:31:58","2025-08-04T00:31:58","5","NULL","NULL","2025-08-04T00:31:58","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","2","NULL","NULL","2025-08-04T00:31:58","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T00:31:58","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T00:31:58","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"ef690799-6979-4b62-8734-61e0a35af777","0bdd12cb-f6bd-4c98-95e2-cf04fc02fd6d","4yY3fBLmM3MRhNnCXpeSmYE6X/BHuq2U/W5v2JP9Xp8=","13","e7bfoxvRUG1Nh6zfymruUsKOomgHuWdbliGkJn9tugA=","23","False","2025-07-29T18:57:41","2025-08-04T18:57:27","10","PvPbSfbLIPHZN9eGOuAg+HrOS2hKpPXe+chOGgZ8WRc=","18","2025-07-29T18:57:41","NULL","ad26329b-39a4-46f3-8cae-32973793cca0","1","JCTpbO0GVQzaH/Y1s5wWOMEU58nf4WoIfVA4XJRVRPk=","29","2025-07-29T18:57:41","NULL","ad26329b-39a4-46f3-8cae-32973793cca0","NULL","NULL","NULL","NULL","NULL","20.0000","1","2025-08-04T18:57:22","NULL","ad26329b-39a4-46f3-8cae-32973793cca0"
"2708aa25-957f-4d8b-b5bf-edfad2a1c471","7ff11d8b-70d4-41be-a443-d15b112a31c1","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","False","2025-08-04T23:03:53","2025-08-04T23:03:53","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","iPKjFOq7ZNYyo8MpWdL/Dj0LesQvpiaJir1E0/fr/ts=","22","2025-08-04T23:03:53","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","NULL","NULL","NULL","NULL","NULL"
"5191997c-78aa-454a-8cc2-3d9bf3bd3d47","86d6f1aa-b35c-4e93-9100-d2002b20669b","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T22:42:26","2025-08-04T22:42:40","3","NULL","NULL","2025-08-04T22:42:26","NULL","ec0181b2-3d68-4dbe-ae4b-4880382e5b3c","NULL","NULL","NULL","NULL","NULL","NULL","phSoeYmkp15Gewi1jOwbBqFIpeJ5uOhMLNFZF31DitM=","11","2025-08-04T22:42:26","NULL","ec0181b2-3d68-4dbe-ae4b-4880382e5b3c","1.0000","1","2025-08-04T22:42:26","NULL","ec0181b2-3d68-4dbe-ae4b-4880382e5b3c"
"dbc7ffda-8629-46a7-ab7d-519488f6a96d","142e83ca-1c9a-420e-bd16-d27a84915355","+tnJCcyBGvw8KvXaHZWrFHr9V3U8fDK0HqTIBPvW8+8=","94","NULL","NULL","True","2025-08-04T22:11:05","2025-08-04T22:11:05","9","NULL","NULL","2025-08-04T22:11:05","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","2","NULL","NULL","2025-08-04T22:11:05","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T22:11:05","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T22:11:05","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"72c10726-77aa-4e04-bff6-533efb0928f3","6fee3a0c-84c8-4e48-9fc4-d2b4711423b1","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T21:30:00","2025-08-04T21:30:00","9","NULL","NULL","2025-08-04T21:30:00","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","4","NULL","NULL","2025-08-04T21:30:00","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T21:30:00","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T21:30:00","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"9ba3b3d7-3bdf-4022-a011-feecefa09942","3d02eaf9-eefb-4c0d-8293-d2c459f1f59e","NAkSPeaAEqJvrhTBLfX1G8Mo101NtSPf6zSCmYc8r30=","51","0qBaEeomiq9xoi/dSmcHb0KKQNTcE/5LxCsWS3yDVYw=","19","True","2025-07-03T19:40:27","2025-08-04T16:38:39","1","AYqDrLsG89rezOgYLYn07TNoN3cBYXZj+35jtqk4YT4=","20","2025-07-03T19:40:27","658ddbdd-3951-40ec-be3e-716d4bb7395a","2b73508a-ef15-4347-bf13-715a6dd8cca1","1","AYqDrLsG89rezOgYLYn07TNoN3cBYXZj+35jtqk4YT4=","20","2025-07-03T19:40:27","7cff360e-e3ef-4f42-92d3-becaa493ccd2","2b73508a-ef15-4347-bf13-715a6dd8cca1","VRPni3S/DNI8hz55ciKIjN4k043NI2fS5K8+0i6oIWc=","40","2025-07-03T19:40:27","525e98c2-ac53-4be5-9783-4f81186cfd86","2b73508a-ef15-4347-bf13-715a6dd8cca1","10000.0000","1","2025-08-04T16:38:39","9c483ef3-9b78-4967-b21b-499c8cf91a06","2b73508a-ef15-4347-bf13-715a6dd8cca1"
"8d626cb3-3c07-4efa-bc99-e35cfd7a960d","f2e5e5fc-4577-46fb-9668-011ed4096445","1ZuzzrUYaXsO4zKfMWowB014+Qbc0iPBmzh6FzOf4C4=","50","NULL","NULL","True","2025-08-04T00:29:34","2025-08-04T00:29:39","9","NULL","NULL","2025-08-04T00:29:34","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","2","NULL","NULL","2025-08-04T00:29:34","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","Kghm/yjq5YfKcXqqu8JAcWTD+CQgYtIMt1zpSwL+o3k=","37","2025-08-04T00:29:34","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","1.0000","1","2025-08-04T00:29:34","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"ecb4e07a-af04-4546-914b-b2b18ae39186","0a702146-d2b5-4dbf-862a-10f4c292dd77","n/3Kzs5UCsknVQFTGsXuj3xtR38EqIp8H54G44EG5Zc=","14","NULL","NULL","False","2025-08-04T20:45:15","2025-08-04T20:45:15","7","xqHrGMZ0pnYFO0auzYCjGPaKlUTPHKIOD2rvfFnVf3I=","50","2025-08-04T20:45:15","6d924f48-e519-4193-80d3-eeaba9052d77","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","5","NULL","NULL","2025-08-04T20:45:15","6d924f48-e519-4193-80d3-eeaba9052d77","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","2j7aOLzibU25Hs/B5JlqYiD+gDg7TQmUmdZhRTQlo9E=","34","2025-08-04T20:45:15","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3","281.4100","1","2025-08-04T20:45:15","NULL","d7037c79-621f-40f1-b33d-b1b88ee8cbd3"
"1c1c190d-32db-4c6f-b1f8-93d701a1d878","3cfe8297-4b72-415a-bb40-11082c4379fe","duTwuIQLy/q0AhE6zPagjDdKJ0vFyW/9AW7CI7Oa5KM=","51","0qBaEeomiq9xoi/dSmcHb0KKQNTcE/5LxCsWS3yDVYw=","19","True","2025-07-31T02:32:37","2025-08-04T16:38:40","1","AYqDrLsG89rezOgYLYn07TNoN3cBYXZj+35jtqk4YT4=","20","2025-07-31T02:32:37","2259f7e9-6fa7-47de-bce2-335f15219a2a","2b73508a-ef15-4347-bf13-715a6dd8cca1","1","AYqDrLsG89rezOgYLYn07TNoN3cBYXZj+35jtqk4YT4=","20","2025-07-31T02:32:37","5e60b1b4-1454-491d-a27a-ec34aaff48d3","2b73508a-ef15-4347-bf13-715a6dd8cca1","VRPni3S/DNI8hz55ciKIjN4k043NI2fS5K8+0i6oIWc=","40","2025-07-31T02:32:37","425f6f16-f7c2-4c3e-a18e-489909c5b608","2b73508a-ef15-4347-bf13-715a6dd8cca1","10000.0000","1","2025-08-04T16:38:40","e92a09b2-2a69-4e93-bf02-001f517ffee6","2b73508a-ef15-4347-bf13-715a6dd8cca1"
